date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-04-19,moderna,fully_vaccinated,0,0,371303,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-20,moderna,fully_vaccinated,0,0,380299,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-21,moderna,fully_vaccinated,0,0,391092,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-22,moderna,fully_vaccinated,0,0,406334,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-23,moderna,fully_vaccinated,0,0,418651,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-24,moderna,fully_vaccinated,0,0,423309,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-25,moderna,fully_vaccinated,0,0,423966,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-26,moderna,fully_vaccinated,0,0,437464,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-27,moderna,fully_vaccinated,0,0,455164,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-28,moderna,fully_vaccinated,0,0,469874,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-29,moderna,fully_vaccinated,0,0,484945,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-04-30,moderna,fully_vaccinated,0,0,493146,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-01,moderna,fully_vaccinated,0,0,494457,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-02,moderna,fully_vaccinated,0,0,494851,0,NA,0.14,0.03,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-03,moderna,fully_vaccinated,0,0,499846,0,NA,0.14,0.03,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-04,moderna,fully_vaccinated,0,0,511680,0,NA,0.14,0.03,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-05,moderna,fully_vaccinated,1,1,525874,0.19,NA,0.14,0.03,100,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-06,moderna,fully_vaccinated,0,1,544055,0,NA,0.14,0.03,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-07,moderna,fully_vaccinated,0,1,562100,0,NA,0.14,0.02,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-08,moderna,fully_vaccinated,0,1,568828,0,NA,0.14,0.02,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-05-09,moderna,fully_vaccinated,0,1,570853,0,NA,0,0,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
