geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d,nachweismethode,type_variant
CH06,202053,8408,1933,6475,228437,1,100,23,4.600000000000001,13.6,825745,1018.23,27664.35,-2659,-322.01,0,-24,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH07,202053,6599,1502,5097,131131,1,100,22.8,2.900000000000002,16.1,350986,1880.13,37360.75,-1098,-312.83,0,-14.3,COVID19Test,2021-12-02_07-48-44,isoweek,2020-53,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
CH01,202101,10416,1542,8874,82927,1,100,14.8,-0.29999999999999893,15,1669608,623.86,4966.85,99,5.93,0,1,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH02,202101,8850,1042,7808,78685,1,100,11.8,-1,12.6,1895693,466.85,4150.72,-335,-17.67,0,-3.6,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH03,202101,4866,607,4259,37169,1,100,12.5,-3.8000000000000007,18,1181776,411.75,3145.18,425,35.96,0,9.6,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH04,202101,9705,1044,8661,97271,1,100,10.8,-4.299999999999999,12,1553423,624.75,6261.72,-255,-16.41,0,-2.6,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH05,202101,7542,1081,6461,76263,1,100,14.3,-2.3000000000000007,13.2,1193069,632.15,6392.17,777,65.12,0,11.5,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH06,202101,4022,547,3475,27440,1,100,13.6,-2.200000000000001,13.9,825745,487.08,3323.06,355,43,0,9.7,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH07,202101,1223,138,1085,9278,1,100,11.3,-4.1,14.9,350986,348.45,2643.41,-112,-31.91,0,-8.4,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
CH01,202101,25298,2547,22751,746616,1,100,10.1,-1,15.9,1669608,1515.21,44718.04,4639,277.85,0,22.5,COVID19Test,2021-12-02_07-48-44,isoweek,2021-01,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,PCR,
