nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_phase5,timeframe_28d,timeframe_14d
all,CHFL,202047,158829,32954,125875,2579173,20.7,-3.3000000000000007,12.5,1,100,8709355,1823.66,29613.82,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-47,-21955,-252.08,-12.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202048,160939,28291,132648,2740112,17.6,-3.099999999999998,12.8,1,100,8709355,1847.89,31461.71,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-48,2110,24.23,1.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202049,165128,29297,135831,2905240,17.7,0.09999999999999787,13.1,1,100,8709355,1895.98,33357.69,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-49,4189,48.09,2.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202050,210607,32074,178533,3115847,15.2,-2.5,13.2,1,100,8709355,2418.17,35775.86,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-50,45479,522.19,27.5,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202051,243814,31316,212498,3359661,12.8,-2.3999999999999986,13.2,1,100,8709355,2799.45,38575.31,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-51,33207,381.28,15.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202052,206789,26129,180660,3566450,12.6,-0.20000000000000107,13.2,1,100,8709355,2374.33,40949.65,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-52,-37025,-425.12,-15.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202053,149605,25078,124527,3716055,16.8,4.200000000000001,13.3,1,100,8709355,1717.75,42667.4,COVID19Test,,2021-12-02_07-48-44,isoweek,2020-53,-57184,-656.58,-27.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202101,167411,24171,143240,3883466,14.4,-2.4000000000000004,13.4,1,100,8709355,1922.2,44589.59,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-01,17806,204.45,11.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202102,147444,16913,130531,4030910,11.5,-2.9000000000000004,13.3,1,100,8709355,1692.94,46282.53,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-02,-19967,-229.26,-11.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202103,163032,14687,148345,4193942,9,-2.5,13.1,1,100,8709355,1871.92,48154.45,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-03,15588,178.98,10.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202104,167924,12588,155336,4361866,7.5,-1.5,12.9,1,100,8709355,1928.09,50082.54,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-04,4892,56.17,3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202105,186074,11316,174758,4547940,6.1,-1.4000000000000004,12.6,1,100,8709355,2136.48,52219.02,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-05,18150,208.39,10.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202106,194077,9179,184898,4742017,4.7,-1.3999999999999995,12.3,1,100,8709355,2228.37,54447.4,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-06,8003,91.89,4.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202107,176741,7925,168816,4918758,4.5,-0.20000000000000018,12,1,100,8709355,2029.32,56476.72,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-07,-17336,-199.05,-8.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
all,CHFL,202108,168130,8158,159972,5086888,4.9,0.40000000000000036,11.8,1,100,8709355,1930.45,58407.17,COVID19Test,,2021-12-02_07-48-44,isoweek,2021-08,-8611,-98.87,-4.9,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
